name,address,lat,lon
Cape Ann Lanes,"53 Gloucester Ave, Gloucester, MA 01930",42.6224113,-70.6715187
Academy Lanes,"725 South Main Street, Haverhill, MA 01835",42.7592161,-71.0985323
Agawam Bowl,"363 Walnut Street EXT., Agawam, MA 01001",42.0688621,-72.6151604
Alley Kat Lanes,"7 Tarkiln Road, Kingston, MA 02364",42.014329,-70.7292767
Apex Entertainment (Marlborough),"21 Apex Drive, Marlborough, MA 01752",42.3380786,-71.5850057
Bayberry Bowling Center,"326 Main Street, Spencer, MA 01562",42.2516208,-71.975723
Boston Bowl,"820 Morrissey Boulevard, Dorchester, MA 02122",42.2938612,-71.0462924
Diamond Junction,"1446 N Main St, Palmer, MA 01069",42.1578044,-72.3307237
Holyoke Turn Hall Bowling Alley,"624 South Bridge Street, Holyoke, MA 01040",42.1953683,-72.6093851
Game Time Lanes & Entertainment,"84 Haverhill Road, Amesbury, MA 01913",42.8419782,-70.952642
Metro Bowl,"63 Foster Street, Peabody, MA 01960",42.5238468,-70.9294755
Mohegan Bowl-A-Drome,"51 Thompson Road, Webster, MA 01570",42.0557451,-71.8620876
Putnam Street Bowling Lanes,"14 Putnam Street, Fitchburg, MA 01420",42.5829505,-71.7997467
Sunnyside Bowladrome,"176 Water Street, Danvers, MA 01923",42.5437191,-70.9195338
Webster Timber Lanes,"460 Bedford Street, Abington, MA 02351",42.1166576,-70.9496782
Twentieth Century Lanes,"1231 Hyde Park Avenue, Hyde Park, MA 02136",42.2568203,-71.124108
Adams Turners,"6 Turners Ave, Adams, MA 01220",42.6305571,-73.1097747
Bogey Lanes,"199 North Brookfield Road, East Brookfield, MA 01515",42.2275245,-72.0641545
Canal Lanes,"74 College Highway, Southampton, MA 01073",42.2455512,-72.7127798
French King,"55 French King Highway, Erving, MA 01344",42.5859491,-72.4891202
Wamesit Lanes,"434 Main Street, Tewksbury, MA 01876",42.6213266,-71.2578181
North Star Bowl,"179 Rte 100, Wilmington, VT 05363",42.8776398,-72.8621063
1-7-10 Sports Center,"PO Box 4683, Augusta, ME 04330",44.3148027,-69.7743945
All Play Family Entertainment Center,"49 Searsport Ave., Belfast, ME 04915",44.4329611,-68.9970875
Archie's Strike & Spare LLC,"135 Federal Road, Parsonfield, ME 04047",30.1099734,-95.4279384
Bangor Brewer Lanes,"534 Wilson Street, Brewer, ME 04412",44.7811157,-68.7425098
Big 20 Bowling,"382 Route 1, Scarborough, ME 04074",43.584728,-70.3572602
Newport Entertainment Center,"26 Main Street, Newport, ME 04953",44.8352814,-69.271424
Old Town Bowling Center,"156 Center Street, Old Town, ME 04468",44.9337097,-68.6467839
Sammi's Family Entertainment Center,"402 Friendship Road, Waldoboro, ME 04572",44.0850473,-69.3742279
Saco Valley Sports Center,"95 Pine Street, Fryeburg, ME 04037",44.0193546,-70.9688805
Just In Time Bowling Center,"24 Molliston Way, Lewiston, ME 04240",44.0990717,-70.2177099
West-Port Bowling Lanes,"135 Main Street, South Portland, ME 04106",43.6349031,-70.2873569
Stars & Strikes,"108 Park Street, South Paris, ME 04281",44.2294818,-70.5138495
Boutwell's Bowling Center,"152 North State Street, Concord, NH 03301",43.2179462,-71.5471156
Bowl-O-Rama,"599 Lafayette Road, Portsmouth, NH 03801",43.0547411,-70.7691868
Exeter Bowling Lanes,"10 Columbus Avenue, Exeter, NH 03833",42.9816442,-70.9623139
King Bowling Lanes,"751 Mast Road, Manchester, NH 03102",42.990761,-71.499975
Lakeside Lanes,"2171 Candia Road, Manchester, NH 03109",43.0023192,-71.3941292
Leda Lanes,"340 Amherst Street, Nashua, NH 03063",42.7820098,-71.5034301
Maple Lanes,"125 Maple Ave, Claremont, NH 03743",43.3654458,-72.3596735
Apex Entertainment (Albany),"1 Crossgates Mall Road, Albany, NY 12203",42.68812,-73.8479971
